Category: All categories

Month,call of duty: (United States)
2004-01,25
2004-02,19
2004-03,16
2004-04,14
2004-05,13
2004-06,13
2004-07,13
2004-08,12
2004-09,16
2004-10,13
2004-11,17
2004-12,21
2005-01,15
2005-02,10
2005-03,11
2005-04,9
2005-05,9
2005-06,8
2005-07,8
2005-08,8
2005-09,9
2005-10,13
2005-11,26
2005-12,28
2006-01,19
2006-02,11
2006-03,10
2006-04,10
2006-05,9
2006-06,9
2006-07,9
2006-08,8
2006-09,8
2006-10,9
2006-11,19
2006-12,17
2007-01,12
2007-02,8
2007-03,7
2007-04,8
2007-05,9
2007-06,9
2007-07,11
2007-08,13
2007-09,14
2007-10,14
2007-11,54
2007-12,50
2008-01,44
2008-02,39
2008-03,36
2008-04,31
2008-05,22
2008-06,31
2008-07,24
2008-08,23
2008-09,22
2008-10,30
2008-11,59
2008-12,44
2009-01,39
2009-02,34
2009-03,32
2009-04,24
2009-05,29
2009-06,29
2009-07,29
2009-08,30
2009-09,26
2009-10,29
2009-11,80
2009-12,54
2010-01,41
2010-02,35
2010-03,28
2010-04,26
2010-05,41
2010-06,30
2010-07,27
2010-08,28
2010-09,30
2010-10,34
2010-11,100
2010-12,52
2011-01,48
2011-02,41
2011-03,32
2011-04,30
2011-05,39
2011-06,37
2011-07,33
2011-08,33
2011-09,29
2011-10,27
2011-11,66
2011-12,38
2012-01,29
2012-02,26
2012-03,22
2012-04,24
2012-05,26
2012-06,21
2012-07,22
2012-08,20
2012-09,18
2012-10,18
2012-11,51
2012-12,31
2013-01,25
2013-02,21
2013-03,19
2013-04,21
2013-05,33
2013-06,23
2013-07,24
2013-08,28
2013-09,20
2013-10,24
2013-11,68
2013-12,38
2014-01,28
2014-02,23
2014-03,21
2014-04,19
2014-05,26
2014-06,19
2014-07,19
2014-08,22
2014-09,16
2014-10,21
2014-11,53
2014-12,31
2015-01,24
2015-02,20
2015-03,19
2015-04,20
2015-05,17
2015-06,18
2015-07,19
2015-08,21
2015-09,14
2015-10,16
2015-11,40
2015-12,28
2016-01,20
2016-02,18
2016-03,18
2016-04,17
2016-05,24
2016-06,16
2016-07,14
2016-08,13
2016-09,15
2016-10,18
2016-11,28
2016-12,21
2017-01,13
2017-02,13
2017-03,12
2017-04,19
2017-05,15
2017-06,14
2017-07,14
2017-08,16
2017-09,13
2017-10,15
2017-11,52
2017-12,26
2018-01,17
2018-02,12
2018-03,12
2018-04,9
2018-05,11
2018-06,10
2018-07,9
2018-08,11
2018-09,14
2018-10,23
2018-11,15
2018-12,16
2019-01,11
2019-02,9
2019-03,10
2019-04,8
2019-05,12
2019-06,12
2019-07,10
2019-08,14
2019-09,20
2019-10,40
2019-11,34
2019-12,27
2020-01,19
2020-02,18
2020-03,33
2020-04,36
2020-05,28
2020-06,25
2020-07,19
2020-08,27
2020-09,23
2020-10,23
2020-11,39
2020-12,30
2021-01,20
2021-02,21
2021-03,17
2021-04,17
2021-05,15
2021-06,15
2021-07,15
2021-08,20
2021-09,15
2021-10,14
2021-11,24
2021-12,18
2022-01,16
2022-02,14
2022-03,13
2022-04,13
2022-05,13
2022-06,15
2022-07,13
2022-08,14
2022-09,19
2022-10,27
2022-11,33
2022-12,22
2023-01,15
2023-02,14
2023-03,13
2023-04,14
2023-05,11
2023-06,15
2023-07,17
2023-08,16
2023-09,14
2023-10,18
2023-11,26
2023-12,20
2024-01,16
2024-02,16
2024-03,15
2024-04,15
2024-05,14
2024-06,17
2024-07,15
2024-08,15
2024-09,14
2024-10,14
